,Electric Range,Legislative District,Model Year
102379,107,28.0,2017
42397,33,5.0,2018
114017,0,19.0,2023
107470,0,1.0,2021
66097,84,45.0,2015
81822,30,5.0,2022
52021,220,45.0,2019
104918,14,35.0,2017
132543,215,48.0,2018
83026,0,45.0,2023
22279,0,30.0,2023
123888,291,12.0,2020
88011,220,48.0,2019
133704,0,26.0,2023
140936,0,10.0,2023
3780,239,32.0,2019
18915,0,48.0,2022
41332,0,18.0,2022
21923,0,1.0,2023
31931,32,30.0,2021
12761,0,46.0,2023
2157,215,5.0,2018
115464,82,27.0,2016
46212,200,48.0,2017
115724,0,29.0,2023
28999,215,45.0,2018
59442,0,48.0,2022
36035,0,33.0,2022
71836,0,48.0,2022
33470,0,45.0,2023
85429,0,48.0,2021
11103,0,36.0,2022
135863,32,25.0,2022
32032,84,36.0,2018
68335,0,2.0,2021
3186,0,36.0,2022
137898,289,21.0,2019
42839,0,11.0,2022
95058,0,27.0,2023
30733,215,32.0,2018
40107,210,17.0,2017
98645,220,19.0,2019
89778,32,5.0,2020
62905,220,41.0,2019
31427,0,45.0,2021
48784,0,32.0,2022
17336,47,45.0,2018
81271,0,35.0,2023
115331,58,24.0,2014
105385,208,27.0,2015
46613,0,43.0,2022
8315,0,1.0,2023
3161,39,46.0,2024
119791,220,41.0,2019
114252,38,35.0,2014
66758,0,41.0,2022
112295,220,38.0,2019
42798,21,41.0,2023
57681,30,46.0,2022
130638,0,5.0,2023
114245,0,44.0,2023
31169,13,47.0,2018
45128,0,41.0,2022
13865,0,36.0,2021
56173,215,46.0,2018
55383,238,22.0,2018
91615,30,45.0,2021
25893,0,5.0,2021
127016,32,33.0,2023
50749,220,49.0,2019
28099,220,18.0,2019
42296,0,45.0,2022
18630,0,33.0,2022
20241,0,48.0,2023
135602,42,24.0,2023
17327,0,30.0,2022
83359,0,48.0,2021
132119,75,22.0,2013
109744,0,31.0,2021
91586,0,31.0,2022
97061,215,16.0,2018
47134,238,46.0,2017
65635,38,49.0,2023
14339,14,33.0,2017
2547,0,36.0,2022
69294,0,23.0,2022
9853,20,49.0,2023
16961,0,44.0,2023
63049,0,48.0,2023
43368,0,11.0,2023
23964,0,45.0,2022
91243,0,31.0,2022
70814,0,18.0,2022
81219,38,29.0,2014
42469,220,43.0,2019
139655,200,8.0,2017
9918,291,5.0,2020
105334,0,31.0,2023
5735,19,17.0,2015
141416,210,34.0,2017
26522,0,48.0,2022
32381,0,41.0,2022
117773,210,40.0,2016
99131,0,18.0,2022
55510,0,18.0,2022
65358,0,41.0,2022
82210,38,9.0,2014
19683,32,11.0,2023
116528,0,12.0,2023
15517,38,1.0,2023
30937,125,36.0,2019
103714,73,36.0,2012
95729,0,40.0,2022
54373,239,37.0,2019
117162,17,13.0,2021
124522,19,28.0,2014
92310,215,11.0,2018
80573,249,48.0,2018
21026,0,20.0,2022
58140,0,41.0,2022
99691,0,32.0,2023
32444,249,45.0,2018
14115,200,41.0,2017
53077,0,43.0,2022
48463,84,32.0,2015
25352,0,36.0,2022
115257,234,6.0,2020
12484,0,43.0,2023
83668,259,32.0,2020
15592,22,17.0,2020
42877,0,41.0,2023
28172,125,11.0,2019
41040,107,43.0,2017
74348,0,48.0,2022
79844,0,19.0,2023
84339,22,35.0,2018
17049,25,17.0,2020
3042,238,46.0,2019
97467,0,12.0,2023
73071,0,43.0,2021
99877,220,45.0,2019
50898,150,46.0,2019
111216,53,21.0,2018
74536,208,48.0,2014
110739,0,45.0,2021
18711,0,37.0,2023
24223,259,46.0,2020
65248,220,33.0,2019
13596,18,36.0,2020
122045,249,40.0,2018
116442,291,40.0,2020
93297,0,27.0,2021
50035,215,45.0,2018
124913,26,10.0,2019
65731,330,39.0,2020
4784,151,17.0,2018
92998,0,46.0,2024
76116,330,12.0,2020
119300,0,41.0,2021
8735,215,41.0,2018
7211,19,43.0,2016
130927,0,47.0,2022
75817,0,5.0,2023
128138,38,28.0,2014
63710,0,41.0,2023
