name,value,parent
Origin,,
TESLA,65552,Origin
NISSAN,13317,Origin
CHEVROLET,11816,Origin
FORD,7307,Origin
BMW,6209,Origin
KIA,5922,Origin
TOYOTA,5074,Origin
VOLKSWAGEN,3914,Origin
VOLVO,3415,Origin
JEEP,3084,Origin
AUDI,2900,Origin
HYUNDAI,2853,Origin
CHRYSLER,2483,Origin
RIVIAN,2209,Origin
PORSCHE,999,Origin
MERCEDES-BENZ,958,Origin
FIAT,817,Origin
HONDA,809,Origin
MITSUBISHI,797,Origin
MINI,772,Origin
SUBARU,502,Origin
POLESTAR,489,Origin
SMART,271,Origin
LINCOLN,227,Origin
JAGUAR,220,Origin
LUCID,176,Origin
CADILLAC,143,Origin
LEXUS,101,Origin
MAZDA,88,Origin
GENESIS,88,Origin
LAND ROVER,44,Origin
FISKER,16,Origin
AZURE DYNAMICS,8,Origin
ALFA ROMEO,6,Origin
TH!NK,4,Origin
WHEEGO ELECTRIC CARS,3,Origin
BENTLEY,3,Origin
